Source,Target,Type,Id,Label,timeset,Weight
7188,1,Directed,0,,<[1407470400.0]>,10
430,1,Directed,1,,<[1376539200.0]>,10
3134,1,Directed,2,,<[1369713600.0]>,10
3026,1,Directed,3,,<[1350014400.0]>,10
3010,1,Directed,4,,<[1347854400.0]>,10
804,1,Directed,5,,<[1337572800.0]>,10
160,1,Directed,6,,<[1394683200.0]>,10
95,1,Directed,7,,<[1384578000.0]>,9
377,1,Directed,8,,<[1414728000.0]>,7
888,1,Directed,9,,<[1365652800.0]>,7
89,1,Directed,10,,<[1351742400.0]>,7
1901,1,Directed,11,,<[1411790400.0]>,6
161,1,Directed,12,,<[1413345600.0]>,6
256,1,Directed,13,,<[1342584000.0]>,6
351,1,Directed,14,,<[1416373200.0]>,5
3329,1,Directed,15,,<[1389934800.0]>,5
3341,1,Directed,16,,<[1388984400.0]>,5
649,1,Directed,17,,<[1384491600.0]>,5
1583,1,Directed,18,,<[1380945600.0]>,5
87,1,Directed,19,,<[1381809600.0]>,5
37,1,Directed,20,,<[1374033600.0]>,5
309,1,Directed,21,,<[1378353600.0]>,5
821,1,Directed,22,,<[1368676800.0]>,5
1496,1,Directed,23,,<[1394168400.0]>,5
637,1,Directed,24,,<[1364961600.0]>,5
964,1,Directed,25,,<[1350100800.0]>,5
594,1,Directed,26,,<[1370836800.0]>,5
2249,1,Directed,27,,<[1360386000.0]>,5
554,1,Directed,28,,<[1346126400.0]>,5
20,1,Directed,29,,<[1343275200.0]>,5
2227,1,Directed,30,,<[1353301200.0]>,5
1315,1,Directed,31,,<[1334635200.0]>,5
519,1,Directed,32,,<[1344571200.0]>,5
1316,1,Directed,33,,<[1332216000.0]>,5
2149,1,Directed,34,,<[1326949200.0]>,5
1724,1,Directed,35,,<[1322802000.0]>,5
18,1,Directed,36,,<[1315022400.0]>,5
57,1,Directed,37,,<[1314158400.0]>,5
118,1,Directed,38,,<[1414123200.0]>,4
3254,1,Directed,39,,<[1373342400.0]>,4
1177,1,Directed,40,,<[1371009600.0]>,4
112,1,Directed,41,,<[1355634000.0]>,4
11,1,Directed,42,,<[1374984000.0]>,4
586,1,Directed,43,,<[1314763200.0]>,4
35,1,Directed,44,,<[1330578000.0]>,4
15,1,Directed,45,,<[1319860800.0]>,4
1445,1,Directed,46,,<[1309752000.0]>,4
152,1,Directed,47,,<[1354078800.0]>,4
2,1,Directed,48,,<[1411963200.0]>,4
113,1,Directed,49,,<[1311307200.0]>,4
