Id,Class,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,modularity_class,stat_inf_class,clustering,eigencentrality
7604,-1,,73,21,94,-628,110,-518,6,0.329987,0.350636,0.002901,0.080527,0.025972,NaN,0,506,2,39,0.097339,0.388011
5342,-1,,39,80,119,0,-249,-249,6,0.3628,0.389552,0.006124,0.048157,0.049823,NaN,0,506,13,32,0.040049,0.241042
7602,-1,,17,13,30,-150,10,-140,7,0.316684,0.334457,0.000075,0.027852,0.021469,NaN,0,506,2,19,0.338768,0.142756
7594,-1,,8,6,14,-61,-60,-121,7,0.295855,0.311332,0.000089,0.00868,0.007923,NaN,0,506,13,93,0.138889,0.047984
708,-1,,7,24,31,12,-128,-116,7,0.294529,0.310384,0.00024,0.007487,0.011672,NaN,0,506,13,44,0.035,0.035902
7601,-1,,16,11,27,-120,10,-110,7,0.311471,0.328665,0.00006,0.023402,0.017454,NaN,0,506,2,19,0.350649,0.119018
7599,-1,,19,8,27,-110,0,-110,7,0.300964,0.318088,0.000054,0.023763,0.012179,NaN,0,506,2,19,0.333992,0.122238
7598,-1,,19,12,31,-110,0,-110,7,0.319737,0.337602,0.000101,0.023527,0.022151,NaN,0,506,2,19,0.311667,0.122238
7600,-1,,34,9,43,-119,15,-104,7,0.303082,0.318515,0.000847,0.042758,0.009334,NaN,0,506,2,49,0.165546,0.207882
1159,-1,,4,18,22,6,-99,-93,6,0.322267,0.339641,0.000209,0.012349,0.018387,NaN,0,506,14,19,0.119883,0.060189
7584,-1,,7,4,11,-42,-40,-82,7,0.304634,0.319169,0.000413,0.011518,0.008681,NaN,0,506,13,65,0.452381,0.058857
7597,-1,,9,8,17,-90,10,-80,6,0.326195,0.34597,0.000093,0.016379,0.014659,NaN,0,506,1,35,0.366667,0.080457
7586,-1,,6,3,9,-49,-18,-67,7,0.273883,0.285531,0.000098,0.006147,0.001859,NaN,0,506,3,10,0.1,0.030924
1691,-1,,20,26,46,3,-66,-63,6,0.324107,0.342216,0.001181,0.026888,0.023938,NaN,0,506,14,75,0.124777,0.134643
791,-1,,1,7,8,10,-70,-60,7,0.248392,0.258468,0.000174,0.000768,0.000814,NaN,0,506,2,52,0.125,0.003526
7593,-1,,7,2,9,-60,2,-58,6,0.305778,0.318308,0.000002,0.014347,0.007076,NaN,0,506,7,64,0.47619,0.071737
7592,-1,,6,3,9,-60,2,-58,7,0.277556,0.289299,0.000023,0.009981,0.003191,NaN,0,506,11,63,0.285714,0.052212
7589,-1,,15,4,19,-56,5,-51,7,0.267414,0.278243,0.000188,0.011505,0.001364,NaN,0,506,6,96,0.171429,0.063283
7576,-1,,6,2,8,-31,-20,-51,7,0.253965,0.262239,0.000284,0.0029,0.000351,NaN,0,506,76,52,0.3,0.013802
7596,-1,,9,7,16,-69,20,-49,6,0.303475,0.319073,0.000261,0.007936,0.005455,NaN,0,506,2,48,0.155556,0.044794
7590,-1,,8,6,14,-57,9,-48,6,0.298352,0.315034,0.000508,0.012744,0.011449,NaN,0,506,7,45,0.232143,0.068084
7591,-1,,17,13,30,-59,17,-42,6,0.300072,0.316004,0.001065,0.017563,0.010499,NaN,0,506,13,25,0.163399,0.079906
7595,-1,,47,53,100,-64,23,-41,6,0.345187,0.371146,0.005656,0.052248,0.049369,NaN,0,506,13,40,0.105786,0.269165
7585,-1,,7,6,13,-47,6,-41,6,0.298209,0.315835,0.000008,0.016814,0.014296,NaN,0,506,15,87,0.696429,0.085375
7518,-1,,6,9,15,-17,-24,-41,6,0.315404,0.331906,0.000706,0.010483,0.011634,NaN,0,506,8,93,0.319444,0.046144
7544,-1,,3,2,5,-20,-20,-40,6,0.287722,0.300876,0.000001,0.006442,0.002296,NaN,0,506,19,74,0.5,0.02461
7529,-1,,3,3,6,-19,-19,-38,7,0.26137,0.271185,0.000003,0.001005,0.001029,NaN,0,506,1,81,0,0.005561
7587,-1,,5,5,10,-50,13,-37,7,0.272549,0.284701,0.000032,0.004925,0.002382,NaN,0,506,2,3,0.366667,0.027427
7583,-1,,8,2,10,-42,5,-37,7,0.249401,0.258179,0.000027,0.020925,0.000395,NaN,0,506,1,84,0.428571,0.104433
7568,-1,,6,3,9,-29,-8,-37,6,0.280087,0.292416,0.000009,0.014821,0.00556,NaN,0,506,13,15,0.5,0.077987
188,-1,,39,46,85,41,-77,-36,6,0.341911,0.364718,0.002005,0.047141,0.041619,NaN,0,506,8,94,0.106029,0.238824
7553,-1,,9,9,18,-23,-12,-35,6,0.298471,0.311756,0.000084,0.006349,0.008884,NaN,0,506,14,42,0.136364,0.029851
7581,-1,,6,2,8,-35,2,-33,7,0.282643,0.295759,0.000127,0.008682,0.003998,NaN,0,506,13,65,0.380952,0.044114
7579,-1,,10,4,14,-34,4,-30,6,0.306528,0.319158,0.000104,0.01587,0.005408,NaN,0,506,1,4,0.222222,0.071083
7574,-1,,3,0,3,-30,0,-30,0,0,0,0,0.0073,0,NaN,0,13,23,75,0.333333,0.036796
7572,-1,,3,0,3,-30,0,-30,0,0,0,0,0.004079,0,NaN,0,24,81,85,0.333333,0.021505
7582,-1,,7,3,10,-36,7,-29,6,0.292734,0.307224,0.000062,0.008495,0.004017,NaN,0,506,2,91,0.285714,0.044909
7567,-1,,3,0,3,-29,0,-29,0,0,0,0,0.008783,0,NaN,0,84,22,44,0.5,0.039144
1134,-1,,5,10,15,6,-35,-29,6,0.30377,0.318624,0.000479,0.004831,0.01029,NaN,0,506,3,56,0.145455,0.027791
272,-1,,34,44,78,30,-59,-29,6,0.361017,0.385206,0.005223,0.044805,0.048143,NaN,0,506,11,97,0.131313,0.227743
7578,-1,,6,2,8,-33,5,-28,6,0.285834,0.300409,0.000012,0.014088,0.003994,NaN,0,506,13,41,0.380952,0.060805
7575,-1,,6,2,8,-30,2,-28,7,0.266198,0.277469,0.000005,0.010416,0.002629,NaN,0,506,15,70,0.466667,0.051969
7573,-1,,3,2,5,-30,2,-28,7,0.276246,0.287951,0.000007,0.007267,0.003475,NaN,0,506,7,78,0.333333,0.037661
7603,-1,,93,66,159,-213,186,-27,6,0.371431,0.399355,0.012167,0.075794,0.062913,NaN,0,506,11,97,0.080824,0.386183
7588,-1,,19,14,33,-54,27,-27,6,0.322295,0.340637,0.000747,0.032372,0.018159,NaN,0,506,7,42,0.256917,0.161973
7531,-1,,3,5,8,-19,-8,-27,6,0.293215,0.307571,0.000043,0.003396,0.004718,NaN,0,506,14,74,0.3,0.008632
7580,-1,,15,2,17,-35,9,-26,7,0.264283,0.273403,0.000053,0.021364,0.001279,NaN,0,506,2,93,0.257143,0.103247
7566,-1,,4,3,7,-29,3,-26,7,0.290375,0.305176,0.000001,0.006815,0.007203,NaN,0,506,14,24,0.5,0.034494
7563,-1,,5,2,7,-28,2,-26,6,0.309669,0.32224,0.000006,0.014406,0.007148,NaN,0,506,14,27,0.8,0.072395
7557,-1,,4,0,4,-26,0,-26,0,0,0,0,0.005446,0,NaN,0,25,1,50,0,0.029858
7559,-1,,4,0,4,-26,0,-26,0,0,0,0,0.007313,0,NaN,0,70,16,80,0.833333,0.030323
7556,-1,,6,0,6,-25,0,-25,0,0,0,0,0.004488,0,NaN,0,6,14,61,0.2,0.023812
7519,-1,,3,2,5,-17,-8,-25,7,0.25,0.259488,0.000028,0.00077,0.00072,NaN,0,506,6,52,0,0.006344
7558,-1,,6,4,10,-26,2,-24,7,0.242352,0.250843,0.000677,0.010516,0.000656,NaN,0,506,12,55,0.166667,0.046056
7521,-1,,6,4,10,-17,-7,-24,6,0.288453,0.301183,0.000034,0.007043,0.002891,NaN,0,506,14,74,0.285714,0.027053
7565,-1,,46,43,89,-29,6,-23,6,0.354561,0.378912,0.003379,0.050676,0.050978,NaN,0,506,15,42,0.142534,0.257824
7555,-1,,3,2,5,-25,2,-23,6,0.291822,0.303336,0.000002,0.006407,0.003063,NaN,0,506,1,81,0.666667,0.028274
7550,-1,,30,21,51,-22,-1,-23,6,0.32108,0.3394,0.002902,0.025067,0.013263,NaN,0,506,14,94,0.073118,0.141902
7502,-1,,3,2,5,-12,-11,-23,7,0.257685,0.26744,0.000491,0.003225,0.001628,NaN,0,506,13,30,0,0.019397
7549,-1,,3,0,3,-21,0,-21,0,0,0,0,0.001539,0,NaN,0,126,66,80,0,0.010102
7548,-1,,3,1,4,-21,1,-20,7,0.274224,0.285208,0,0.008705,0.002413,NaN,0,506,7,69,1,0.042919
7543,-1,,2,0,2,-20,0,-20,0,0,0,0,0.005541,0,NaN,0,201,56,44,0,0.022097
7542,-1,,2,0,2,-20,0,-20,0,0,0,0,0.004941,0,NaN,0,72,57,44,0,0.022048
7537,-1,,2,0,2,-20,0,-20,0,0,0,0,0.002813,0,NaN,0,92,62,24,0,0.017
7534,-1,,2,0,2,-20,0,-20,0,0,0,0,0.003833,0,NaN,0,26,63,23,1,0.021367
7545,-1,,2,0,2,-20,0,-20,0,0,0,0,0.00146,0,NaN,0,83,77,74,0,0.007206
7539,-1,,2,0,2,-20,0,-20,0,0,0,0,0.00115,0,NaN,0,7,90,49,0,0.005459
7476,-1,,1,1,2,-10,-10,-20,7,0.241306,0.248403,0,0.000435,0.000429,NaN,0,506,105,47,0,0.002077
7461,-1,,1,1,2,-10,-10,-20,7,0.256626,0.266321,0,0.001166,0.001233,NaN,0,506,123,40,0,0.006452
7466,-1,,1,1,2,-10,-10,-20,8,0.195085,0.19939,0,0.000015,0.000248,NaN,0,506,124,55,0,0.001123
7546,-1,,3,3,6,-21,3,-18,7,0.256943,0.265548,0.000023,0.000529,0.000528,NaN,0,506,8,26,0,0.003119
7541,-1,,2,2,4,-20,2,-18,7,0.237965,0.245955,0.000001,0.000413,0.000365,NaN,0,506,13,12,0,0.002083
7527,-1,,3,1,4,-19,1,-18,7,0.219354,0.225447,0.000001,0.001923,0.00011,NaN,0,506,13,53,0,0.00702
179,-1,,21,37,58,43,-61,-18,6,0.359218,0.383738,0.00217,0.027406,0.045673,NaN,0,506,8,53,0.138462,0.133176
7554,-1,,4,5,9,-23,6,-17,6,0.296065,0.311863,0.000019,0.010636,0.008755,NaN,0,506,13,57,0.433333,0.054663
7547,-1,,3,2,5,-21,4,-17,7,0.274787,0.284693,0,0.002977,0.001744,NaN,0,506,11,54,0.666667,0.014072
7528,-1,,4,2,6,-19,2,-17,6,0.288342,0.303607,0.000005,0.007266,0.006545,NaN,0,506,15,19,0.166667,0.037273
7509,-1,,8,4,12,-14,-3,-17,6,0.301424,0.317258,0.000067,0.009948,0.008237,NaN,0,506,13,12,0.053571,0.052279
2396,-1,,2,3,5,2,-19,-17,7,0.268141,0.27976,0.000004,0.002616,0.00276,NaN,0,506,65,28,0.5,0.013548
7577,-1,,13,8,21,-33,17,-16,6,0.30756,0.320038,0.000128,0.021775,0.008474,NaN,0,506,8,19,0.262821,0.110924
7551,-1,,5,4,9,-22,6,-16,7,0.274787,0.286325,0.000255,0.008087,0.002649,NaN,0,506,13,93,0.160714,0.041548
7538,-1,,2,3,5,-20,4,-16,7,0.303303,0.315615,0.000006,0.005912,0.006376,NaN,0,506,14,61,0.25,0.029817
7533,-1,,2,2,4,-20,4,-16,7,0.26328,0.272238,0.000005,0.001277,0.001167,NaN,0,506,2,17,0,0.006526
7524,-1,,4,2,6,-18,2,-16,7,0.257809,0.267127,0.000018,0.000918,0.000818,NaN,0,506,2,12,0.083333,0.005545
7428,-1,,3,3,6,-8,-8,-16,7,0.291573,0.304464,0.000067,0.005559,0.004789,NaN,0,506,8,81,0,0.024354
7398,-1,,8,8,16,-4,-12,-16,7,0.302056,0.315562,0.000052,0.015386,0.006752,NaN,0,506,8,48,0.17033,0.064051
7561,-1,,4,4,8,-28,13,-15,7,0.243628,0.252945,0.000067,0.000334,0.000427,NaN,0,506,2,12,0,0.002956
7526,-1,,3,2,5,-19,4,-15,7,0.285878,0.297,0.000001,0.005333,0.003545,NaN,0,506,8,84,0.666667,0.029554
7440,-1,,2,2,4,-9,-6,-15,7,0.267471,0.277053,0,0.001865,0.002607,NaN,0,506,14,48,1,0.012886
2244,-1,,2,7,9,2,-17,-15,6,0.309874,0.322467,0.000243,0.003664,0.010882,NaN,0,506,8,49,0.071429,0.018688
7569,-1,,5,4,9,-30,16,-14,6,0.288164,0.301877,0.000107,0.002789,0.003025,NaN,0,506,2,71,0.166667,0.015222
7516,-1,,5,2,7,-15,2,-13,7,0.282792,0.294503,0.000004,0.013867,0.002912,NaN,0,506,13,33,0.55,0.067071
7515,-1,,2,1,3,-15,2,-13,6,0.281074,0.295267,0.000005,0.001438,0.002936,NaN,0,506,13,28,0,0.007631
7505,-1,,4,0,4,-13,0,-13,0,0,0,0,0.006159,0,NaN,0,20,7,8,0.666667,0.033298
